time_min,0.0,11.156956418952296,22.31003592210353,33.46982401883852,44.62961211557351,55.787143997081365,67.04262315759652,78.2911981246563,89.50809080793756,100.72121530721847,111.93993803927316,123.15866077132779,134.4561720582541,145.7716240731867,157.08707608811926
0.0,5083.056783,3835.469241,2807.212719,2024.062881,1404.166609,965.368433,656.413912,406.459265,277.978726,247.968797,224.235206,251.145979,263.10542,363.185853,423.486479
5.0,14318.184453,10893.868234,7676.955596,5234.822044,3493.756462,2265.764441,1369.128473,792.647631,505.605437,361.701644,247.994474,196.16595,196.791291,207.615179,273.348409
10.0,14703.827086,10981.638279,7600.937843,5273.630514,3447.182687,2227.929043,1292.682985,808.177688,489.251745,332.502152,239.106307,192.335288,184.088834,236.345865,323.328344
15.0,25684.88103,15470.341017,9481.628576,5835.237751,3709.311757,2250.916759,1353.595306,721.677467,459.467386,318.776041,245.507347,206.284825,248.776847,232.313749,322.408285
20.0,80106.075521,48460.798739,30529.153459,17078.665457,9001.605077,4020.064374,2156.17504,1062.111838,592.680063,374.199341,294.981142,218.743965,234.954387,314.464697,322.720828
25.0,166910.620432,116962.486265,88597.422596,59016.430458,34760.847319,18236.161039,10068.995042,4950.434836,2476.833602,1053.590229,443.984585,362.476231,282.039327,307.233504,369.711809
30.0,236752.420027,186963.395749,164860.391391,129584.629279,90042.290296,55708.196147,35909.259579,19762.162738,11276.420917,5995.041968,2717.503967,1550.492421,797.120433,673.254061,647.219533
35.0,273840.216844,231910.82049,221459.763741,195220.666153,153159.403213,108671.861452,82995.877805,55079.096506,34456.288311,19940.816082,9955.756596,5964.380858,3200.454268,2589.598364,2104.80517
40.0,288265.35781,251651.571297,248891.135989,231912.028201,198554.495482,152960.756192,133633.077014,105455.178994,75334.926792,47627.886296,27463.22073,16360.624577,9156.983809,6900.342896,5670.781805
45.0,287519.583892,253508.638453,253709.691856,244460.495286,220887.04342,178634.149837,168519.873509,151187.907477,121174.097306,88591.419445,58630.369085,36384.58038,20729.087649,14585.386959,12324.127461
50.0,279154.362302,244561.848479,244656.249525,241301.509086,225771.631329,188687.049536,181739.860764,178752.172709,157938.788491,130203.064955,99455.252868,67681.756861,41318.355683,27462.201154,20393.105885
55.0,263189.220622,229791.381892,228777.190173,227160.718866,218822.44725,187797.588616,182835.016336,186885.183755,175730.771197,160597.953748,138956.256093,104854.248349,69304.946709,47700.775407,33867.296179
60.0,243292.793527,212735.405504,208604.525435,211022.977495,207084.217173,179641.535533,176077.045974,183876.085694,179598.013895,175390.091308,167623.471538,140123.053782,101264.497707,74965.002856,53311.397462
65.0,222652.1076,195211.957314,187677.111072,194338.465457,191786.530604,169828.751683,165666.313457,173685.361238,171263.615591,174935.688622,179467.005736,161588.892514,130205.938696,102978.904559,76211.29341
70.0,203267.068328,175481.618476,171113.935723,175680.562628,176449.131818,156707.217415,153791.924218,162246.905882,159191.88062,167709.884381,178409.463534,172689.168906,151930.846895,128641.611516,101658.618853
75.0,185735.566908,159631.522561,153786.309867,160328.437717,160283.173339,145789.859867,141107.363879,150091.993818,147372.17417,155018.045167,171594.929888,173219.263674,162820.159449,145108.443532,118886.496429
80.0,170632.103504,143779.702631,138282.196077,144712.442896,145880.521047,133285.992185,130206.839007,137883.729397,134403.281939,143283.538773,158703.042408,164653.765895,164588.49733,156574.968711,134045.141641
85.0,154413.979021,130970.630056,124958.523916,131022.341551,131454.715226,122445.872926,118422.942513,126494.720624,123547.654752,131365.055871,144016.195889,153800.842271,157767.90453,159188.403326,141808.755516
90.0,141278.857956,120072.763099,113445.465123,118198.151836,120245.971791,112607.256208,109601.396717,116839.469418,113880.183111,120056.736419,131539.305054,140506.910101,149315.246862,155985.117166,146759.447299
95.0,128751.336275,109921.678691,103345.733122,108785.815099,107701.176996,104866.88375,100006.296339,105133.559786,103500.791937,108437.232861,121144.880435,127094.36774,136541.48981,148919.102716,143040.197861
100.0,120371.328538,101523.675112,93942.991473,97893.287457,98593.631721,94450.633348,93735.908237,97065.76004,94521.006869,102268.591236,109121.419787,116886.346073,124429.126282,138828.541881,139695.218521
105.0,111117.738658,93494.733731,87187.887051,90596.975313,89882.867834,85986.595591,85597.358776,87933.216929,87735.460664,91564.186203,100835.7883,104687.317792,110868.293951,126142.865936,132468.752571
110.0,107238.242677,85721.852731,81203.697267,81915.233702,83852.566667,79729.970721,78865.501112,81192.047355,81128.667978,84330.279958,92442.121629,93880.26807,101518.667555,115561.479538,125150.483892
115.0,102073.609785,82743.779585,75663.836938,75772.018509,78059.031264,74953.875073,72139.256752,74901.917968,72814.44421,77453.457039,85025.882496,87242.712912,91223.912898,107935.459694,114373.637884
120.0,93483.348052,77053.652944,71029.158652,70760.420831,71633.174128,70603.659435,68685.736199,70038.986981,69320.758808,72467.811955,79299.16477,81880.180719,84100.097983,95495.562174,103287.38297
125.0,89052.434772,73010.435806,66033.874043,65482.756379,69195.697608,64670.4168,62473.265869,65301.049196,64717.527911,64844.035691,74720.295394,76200.97823,78641.24422,87147.614963,95472.474613
130.0,83002.978005,67292.361211,61129.843037,64211.664579,62949.839251,60510.484841,57483.814661,60289.24044,60014.504575,61325.227894,68970.381508,67733.875058,70898.973559,78971.595701,89387.388594
135.0,81506.23857,65732.367822,60227.747259,60792.460315,60205.121906,60453.973976,56358.746647,57102.175182,56553.747173,58288.273779,62703.29581,64135.874811,67794.794292,71107.606582,83065.17298
140.0,81352.065081,64636.659329,58393.443518,56356.785776,56714.302825,55168.274246,51427.2678,54564.890775,51605.32423,55368.16772,60485.218691,62199.778468,62516.899573,67805.455076,76479.654869
145.0,79208.84026,59799.407529,56039.985842,56554.096774,55660.570387,52076.557659,49182.857911,50497.099433,51598.808629,53937.07989,57901.112141,58526.232718,60263.482626,64528.771012,72689.14936
