time_min,0,17.272,34.54,51.635
0,107.314939,99.349763,88.518274,93.392882
5,162.320063,157.948649,130.290455,123.661332
10,145.60692,127.560005,131.293899,127.669533
15,136.308158,150.156684,139.292706,145.215076
20,156.345471,153.765616,120.055507,133.50788
25,186.842009,176.363189,163.210997,177.829388
30,296.5636,229.832929,198.16894,195.454398
35,3584.702564,600.213329,236.943107,214.647483
40,21687.08495,6437.056151,1408.96691,433.065751
45,73530.34289,31426.2801,9103.853076,2805.470951
50,159186.6023,89618.13055,38139.55092,15346.18813
55,256349.0773,171200.4652,93284.2277,47862.55503
60,347217.9239,257263.3287,165512.2546,102507.9694
65,419232.1976,336856.399,241649.6698,166006.0321
70,471172.9478,396551.8827,309001.8885,227971.6765
75,505234.296,442169.713,362761.6962,285406.3269
80,528739.5565,472048.4914,401665.9704,327469.671
85,544128.5512,492330.9209,431899.8503,360853.3962
90,549359.7969,502210.0615,450651.9858,381197.0144
95,552343.3437,512573.3574,461588.9908,394031.3639
100,551741.1508,513315.4288,465996.0555,403201.6171
105,549676.9638,511600.0569,475505.1806,409956.6379
110,541879.8779,509617.5832,471721.254,412789.6524
115,539668.112,502463.2829,469607.9269,413142.9503
120,532484.7014,496780.1648,461764.4473,403041.1511
125,528936.5609,492783.6364,455629.317,402538.4816
130,515718.631,488093.5896,448751.9644,397672.4241
135,510129.9973,476684.6259,439293.2883,398342.8557
140,505095.968,469721.9203,437022.0509,389908.9587
145,498825.5489,461189.3492,433144.2271,380036.6143
150,493161.9377,451126.9125,428157.5854,375095.324
155,484920.3461,450060.7511,424992.3429,368973.4711
160,485632.7268,448518.7618,418279.1397,365868.6916
165,469519.3127,436975.5477,411953.6203,366103.4682
170,467376.7675,426472.6539,408093.1617,359953.7084
175,455074.2025,428896.2363,401640.6938,366849.116
180,457512.0945,424209.8641,394339.7618,360224.5433
185,461862.0572,414000.9421,408408.2529,347619.1416
190,461856.3696,421302.4189,390308.1973,352911.2595
195,453887.4178,432507.889,382859.9944,338956.6268
200,439851.2436,407536.2202,380379.1635,351835.8865
205,463858.6941,421963.206,394022.4,328500.6937
