time_min,0.0,11.692,23.436,35.18,46.922,58.661,70.394,82.107,93.81700000000001
0.0,111.368332,118.322619,130.929216,135.15864,140.672003,178.49605,226.012671,295.985612,536.924796
5.0,166.8437,178.281714,192.724858,209.606117,236.830544,254.319122,274.663999,315.062035,375.306481
10.0,158.293103,163.386006,178.458188,189.858761,208.529515,226.042541,256.325944,277.442871,329.945254
15.0,142.731808,162.657838,175.108431,176.419012,194.712786,202.506092,227.376712,254.665497,295.826685
20.0,160.553864,158.500232,168.398433,189.961843,199.865308,211.081657,240.839567,254.629831,308.900311
25.0,199.284558,215.894203,225.307389,230.53176,238.04942,263.464011,274.463743,309.481751,366.2957
30.0,523.587424,376.312926,386.222312,336.452185,323.590928,338.413811,352.143592,403.143761,466.192314
35.0,1484.292017,803.049988,753.000173,555.516299,470.539997,448.567373,490.697505,540.73149,622.19054
40.0,5504.355913,1995.145922,1405.172729,930.877909,750.01292,627.853318,644.808434,759.212651,852.230331
45.0,16774.746813,5012.227682,3055.617451,1615.132687,1142.733264,966.444078,817.63762,926.730123,1068.342745
50.0,36387.734704,12057.615253,6816.743641,3397.027172,1858.461818,1403.710485,1226.997341,1230.227846,1351.934193
55.0,63032.636767,23969.939789,13364.147208,7343.254488,4063.987225,2955.41114,2274.310193,2099.878341,1868.837374
60.0,91260.373822,38666.60904,22712.942189,13337.123699,8280.902394,5547.292119,4299.157855,4099.026246,3432.542948
65.0,117984.822048,54830.567391,33150.370095,21145.966244,13658.383741,10031.745343,7860.481172,7757.595938,6459.568513
70.0,141865.246108,71332.869119,44346.70162,29038.327161,21276.506664,15704.546818,12793.822325,12572.650427,11275.03928
75.0,163068.282837,86608.741791,54054.886172,37180.140929,28763.737552,22192.41449,18232.505349,18806.204721,17852.343655
80.0,180096.971198,99736.967478,65462.060871,44191.067746,35458.930908,29176.28554,23957.011915,24537.616128,24664.998285
85.0,192841.422331,111146.333565,74619.937492,51012.62761,42059.069802,35748.102131,29371.120807,30732.543152,32141.415015
90.0,201758.64097,121926.362807,83562.224201,57337.928873,47985.335327,42209.738704,35344.981686,37015.436208,38775.12539
95.0,210411.588844,130468.046251,90299.713489,63154.235107,53863.540633,47727.187203,40823.486438,42795.89775,46065.4176
100.0,215931.624551,137115.996421,96135.451634,68636.625232,58176.003753,52484.816627,46111.364152,49333.75235,52264.914305
105.0,220852.030042,143729.55419,103177.653314,71570.940801,63031.78417,56139.401377,51884.362176,54440.167159,58147.51297
110.0,221625.26934,148836.765647,107530.280902,75884.630333,67130.46767,61669.43383,54426.484045,58573.544465,64211.958993
115.0,226116.721664,152078.641275,110888.556125,79320.601774,70375.815247,64254.452497,58680.680393,61551.830106,69588.098966
120.0,226196.522235,156349.848904,113891.560657,83579.79125,73570.108064,66792.608944,62156.348952,66383.71707,73014.94088
125.0,228282.969092,156112.143624,119413.256342,88075.02412,75251.524589,71563.060253,65357.104175,70754.53147,79067.417432
130.0,232087.41035,157396.359093,120718.264154,89173.150699,75560.554696,72939.14394,70854.434127,71605.500761,82982.799626
135.0,233396.0601,158791.639714,125200.622982,91305.238034,77566.268744,74370.359815,69758.894565,79007.660007,86339.571479
140.0,232624.153751,158294.968509,129750.561322,93307.547221,81268.420369,78705.693595,72604.655762,83090.121124,92284.311485
145.0,235989.972234,163513.602873,129091.069235,97147.240606,82623.585049,82949.937148,76115.156828,83760.047834,93956.877898
150.0,235814.139602,163437.602531,132082.910412,95923.029703,83759.717505,81230.499039,78520.794938,87911.200085,98764.786961
155.0,231110.778767,167371.195819,133522.0859,100618.943568,87411.269204,87040.704229,80504.625934,88991.847269,106000.26723
160.0,237589.395646,163873.407143,137760.060313,96640.984222,85934.102381,86226.334504,83818.186428,95211.791564,106539.568308
165.0,238990.962831,169542.24656,139449.957242,106689.823113,92572.442652,93235.992686,87947.149129,97166.99077,107817.324974
170.0,238356.412202,176767.618604,140444.300154,111246.959519,97618.956549,90317.797785,91825.778019,107701.549995,118398.26702
175.0,242836.883861,173069.946649,145178.937548,117855.03206,101804.129618,98992.682998,93396.843502,108742.53343,126808.790468
180.0,248481.377747,179127.771905,148443.248241,113899.690994,101053.64659,102746.462528,93906.852743,111809.143256,124588.697696
185.0,252845.651626,179674.173574,150191.971188,130683.200936,107335.282896,103401.792846,99450.869811,115351.436539,133354.512039
190.0,255355.203023,189898.330636,159500.900548,124331.03022,105896.168952,114688.39083,102900.492437,121250.346613,138924.924822
195.0,249733.344463,186660.601583,153599.383477,125495.884589,107798.460871,113295.222713,109292.794578,133548.421099,142168.575826
200.0,263983.198855,181685.64226,166284.103823,141494.128656,111975.98138,128423.779411,125692.393402,142186.114857,151000.258695
205.0,269938.322789,204251.573866,177078.248508,143453.876178,126860.017918,118572.127202,133654.396135,144662.554183,175697.92947
